K,seed,avg_state_frac,avg_obs_frac,avg_frac,V_full,V_proj,eps,err,V_max,valid
1,0,0.10000000000000002,0.1,0.1,4.84922957103953,0.07271100181242313,28.4847595012368,4.776518569227107,30.0,1
1,1,0.10000000000000002,0.1,0.1,4.84922957103953,-0.08999024420823742,28.768444809407775,4.9392198152477675,30.0,1
1,2,0.10000000000000002,0.1,0.1,4.84922957103953,0.45428300234157154,27.5926138245927,4.394946568697958,30.0,1
1,3,0.10000000000000002,0.1,0.1,4.84922957103953,0.5884272273397725,27.23164351134619,4.2608023436997575,30.0,1
1,4,0.10000000000000002,0.1,0.1,4.84922957103953,-0.20500742377937672,28.842048302610685,5.054236994818907,30.0,1
2,0,0.20000000000000004,0.1,0.15000000000000002,4.84922957103953,-0.19265736758511093,27.515934893276164,5.041886938624641,30.0,1
2,1,0.12,0.2,0.16,4.84922957103953,0.4326812276954918,26.976133173748046,4.416548343344038,30.0,1
2,2,0.11666666666666665,0.16666666666666666,0.14166666666666666,4.84922957103953,0.5718561005902254,27.35746762809539,4.277373470449304,30.0,1
2,3,0.12,0.13333333333333333,0.12666666666666665,4.84922957103953,1.2465610764876685,25.38200492797492,3.6026684945518612,30.0,1
2,4,0.15999999999999998,0.2,0.18,4.84922957103953,0.4472101456427534,26.878334416088222,4.402019425396777,30.0,1
4,0,0.2,0.25,0.225,4.84922957103953,1.4051334099907213,23.36046115144093,3.444096161048808,30.0,1
4,1,0.18181818181818182,0.25,0.2159090909090909,4.84922957103953,0.7544092464055732,24.542108656688136,4.0948203246339565,30.0,1
4,2,0.17,0.22500000000000003,0.1975,4.84922957103953,1.7617308121680018,22.322448177453804,3.087498758871528,30.0,1
4,3,0.25555555555555554,0.26666666666666666,0.26111111111111107,4.84922957103953,1.523413221937135,21.154573588720204,3.3258163491023947,30.0,1
4,4,0.1866666666666667,0.27999999999999997,0.23333333333333334,4.84922957103953,1.395980982810606,23.305040715375366,3.4532485882289237,30.0,1
8,0,0.26999999999999996,0.38,0.32499999999999996,4.84922957103953,2.495905137850003,16.179699057910625,2.3533244331895267,30.0,1
8,1,0.30000000000000004,0.34,0.32000000000000006,4.84922957103953,3.7940711519383865,15.031150418364838,1.0551584191011432,30.0,1
8,2,0.34545454545454546,0.25,0.29772727272727273,4.84922957103953,3.2295808391044583,15.307351375561034,1.6196487319350714,30.0,1
