experiment_id,date,description,planner_label,rho_T,rho_Z,ucb_mode,budget,sims_per_backup,horizon,eta_world_obs,eta_world_trans,trial_seed,episode_return,runtime_s,n_correct_open,n_wrong_open,n_listen_actions
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,1,6.0,0.05154970000148751,1,0,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,2,-192.0,0.03133260001777671,1,2,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,3,-82.0,0.03037580000818707,2,1,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,4,-82.0,0.030243299988796934,2,1,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,5,28.0,0.029829699982656166,3,0,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,6,6.0,0.030069600004935637,1,0,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,7,6.0,0.029866600001696497,1,0,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,8,28.0,0.029850799997802824,3,0,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,9,17.0,0.029960100015159696,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,10,39.0,0.03023049997864291,4,0,1
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,11,-82.0,0.030011000024387613,2,1,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,12,-93.0,0.030047600012039766,1,1,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,13,6.0,0.03034749999642372,1,0,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,14,28.0,0.03057149998494424,3,0,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,15,-181.0,0.03011789999436587,2,2,1
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,16,-5.0,0.050180999998701736,0,0,5
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,17,17.0,0.030415500019444153,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,18,-93.0,0.030339399992953986,1,1,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,19,28.0,0.030034199997317046,3,0,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,20,17.0,0.030337900010636076,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,21,-93.0,0.030373499990673736,1,1,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,22,-71.0,0.029654699988896027,3,1,1
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,23,-181.0,0.03746209997916594,2,2,1
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,24,6.0,0.030521500011673197,1,0,4
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,25,28.0,0.030671399988932535,3,0,2
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,26,17.0,0.030413400003453717,2,0,3
E1,2026-05-08,baseline_basicpomcp_vs_rho0,BasicPOMCP,0.0,0.0,nominal,100,5,5,0.0,0.0,27,-280.0,0.030144399992423132,2,3,0
